# Simulation Configuration
NumContainers,20
NumResources,5
SimulationTime,60
MaxConcurrentAccess,3
SynchronizationEnabled,false
NetworkLatencyMean,15
ProcessingTimeMean,50

# Summary Metrics
TotalRequests,4254
SuccessfulRequests,4254
Conflicts,132
Timeouts,0
TotalDuration,61
ThroughputPerSecond,69.7377
AvgAcquireTimeMs,14.738834038551952
AvgProcessingTimeMs,49.43582510578279
AvgTotalTimeMs,79.71180065820404

# Access Logs
ContainerId,ResourceId,AcquireTimeMs,ProcessingTimeMs,TotalTimeMs
15,resource_1,2,39,54
9,resource_0,5,34,56
5,resource_3,11,29,58
10,resource_1,19,23,60
1,resource_1,20,35,72
0,resource_1,11,49,73
8,resource_2,12,49,73
6,resource_3,15,37,71
3,resource_0,26,38,79
12,resource_4,11,55,79
4,resource_0,2,68,82
17,resource_2,15,48,82
14,resource_3,24,43,84
11,resource_4,16,55,88
16,resource_2,13,55,91
18,resource_2,18,52,91
19,resource_1,8,79,100
7,resource_2,23,64,103
2,resource_1,14,74,108
13,resource_2,12,89,121
11,resource_4,20,18,57
17,resource_2,21,59,97
1,resource_2,5,45,71
14,resource_0,6,31,49
7,resource_1,24,43,86
19,resource_1,4,7,28
15,resource_1,15,61,92
17,resource_1,10,57,87
16,resource_2,16,40,68
9,resource_1,17,50,81
3,resource_2,17,38,70
10,resource_4,17,36,69
4,resource_4,10,42,64
2,resource_3,6,44,72
12,resource_2,13,57,85
1,resource_1,22,39,74
13,resource_4,17,71,102
14,resource_3,19,55,84
6,resource_1,20,81,119
19,resource_0,18,1,35
0,resource_0,18,52,82
5,resource_3,23,68,113
8,resource_0,22,84,131
3,resource_4,14,43,69
17,resource_4,9,64,87
18,resource_3,13,47,76
11,resource_1,15,54,86
7,resource_1,14,28,65
16,resource_3,14,65,91
15,resource_4,15,127,158
13,resource_3,20,47,77
2,resource_4,13,72,94
6,resource_1,17,13,45
9,resource_2,15,38,72
10,resource_2,18,54,89
14,resource_3,15,60,87
4,resource_2,19,46,78
19,resource_0,11,67,98
15,resource_0,4,37,56
0,resource_3,19,44,80
12,resource_1,5,42,59
8,resource_0,8,73,100
15,resource_1,20,28,65
16,resource_0,8,57,72
3,resource_2,18,35,72
11,resource_2,26,67,113
5,resource_1,16,68,95
13,resource_3,17,53,94
14,resource_2,9,61,93
17,resource_2,15,42,66
16,resource_1,5,53,66
9,resource_4,23,65,105
18,resource_0,21,17,57
6,resource_2,20,77,108
0,resource_0,17,55,82
7,resource_3,16,84,113
10,resource_3,14,75,103
1,resource_1,22,56,95
2,resource_3,18,45,80
18,resource_2,18,11,47
17,resource_3,13,48,71
15,resource_4,8,85,115
12,resource_1,11,28,58
11,resource_4,10,44,62
8,resource_2,17,45,78
16,resource_4,17,26,51
4,resource_4,12,77,105
14,resource_3,16,31,56
7,resource_4,16,24,47
19,resource_2,15,55,83
5,resource_4,19,62,96
3,resource_3,17,41,69
10,resource_0,19,54,86
9,resource_2,21,78,119
14,resource_1,14,35,68
13,resource_0,18,29,55
15,resource_1,11,53,74
6,resource_3,18,73,107
2,resource_1,13,48,70
17,resource_1,18,49,91
1,resource_0,13,59,86
5,resource_1,23,36,72
18,resource_2,21,51,85
0,resource_3,23,24,68
1,resource_2,18,19,56
12,resource_4,20,50,89
19,resource_4,17,41,73
11,resource_0,13,25,53
8,resource_2,12,72,107
7,resource_3,15,71,95
16,resource_0,19,53,84
13,resource_1,15,26,54
9,resource_3,9,28,54
3,resource_0,24,21,61
4,resource_4,17,101,134
16,resource_2,20,20,65
0,resource_4,22,57,99
10,resource_0,15,40,74
5,resource_4,5,11,33
18,resource_0,8,36,63
1,resource_1,16,99,136
15,resource_0,12,77,106
12,resource_3,19,51,90
6,resource_2,16,53,81
11,resource_3,18,65,100
19,resource_4,14,53,82
14,resource_0,20,67,109
2,resource_2,8,76,94
10,resource_1,17,25,51
7,resource_4,13,21,48
17,resource_0,16,35,61
9,resource_0,12,53,88
8,resource_1,11,35,60
0,resource_1,13,44,75
4,resource_2,17,47,74
13,resource_4,12,22,49
3,resource_2,18,40,66
16,resource_3,18,60,106
9,resource_3,10,92,117
12,resource_4,22,39,73
14,resource_3,19,54,93
5,resource_1,11,52,87
17,resource_2,5,28,45
19,resource_3,6,63,85
1,resource_0,15,83,106
18,resource_0,12,45,77
7,resource_4,21,73,106
10,resource_0,17,46,94
15,resource_3,9,27,56
11,resource_3,24,14,56
2,resource_4,15,69,86
13,resource_4,24,41,75
0,resource_2,7,63,92
6,resource_2,21,52,88
4,resource_3,11,43,60
8,resource_4,20,27,58
12,resource_3,17,49,80
16,resource_4,16,32,63
9,resource_4,14,37,66
3,resource_1,16,40,74
0,resource_4,10,54,83
5,resource_0,17,26,59
16,resource_3,19,54,83
14,resource_0,11,6,37
15,resource_4,20,36,71
13,resource_1,13,60,93
10,resource_4,15,31,64
17,resource_2,15,73,107
7,resource_2,14,32,70
8,resource_1,9,24,48
4,resource_1,13,58,84
2,resource_4,16,23,56
19,resource_0,12,69,100
11,resource_3,16,57,94
1,resource_2,16,46,86
9,resource_2,18,36,68
3,resource_0,4,61,73
18,resource_4,11,64,97
15,resource_4,20,35,78
10,resource_2,15,23,46
8,resource_1,20,25,63
6,resource_2,9,60,90
0,resource_4,13,45,70
16,resource_0,22,41,81
5,resource_3,9,64,95
2,resource_1,15,55,90
17,resource_4,19,64,99
12,resource_4,15,51,88
19,resource_2,22,61,103
9,resource_1,14,64,94
14,resource_2,11,47,70
4,resource_2,27,74,117
7,resource_2,14,63,91
1,resource_1,12,73,102
11,resource_3,19,63,96
10,resource_0,17,57,95
18,resource_0,17,52,80
8,resource_4,13,48,77
3,resource_1,16,53,76
16,resource_2,15,57,87
8,resource_2,19,16,46
19,resource_3,16,38,67
1,resource_0,15,65,101
15,resource_3,12,19,52
14,resource_4,10,42,65
9,resource_3,13,39,65
2,resource_1,11,67,98
17,resource_3,7,39,60
6,resource_0,19,35,70
12,resource_2,16,60,89
13,resource_3,12,73,102
18,resource_0,2,26,49
0,resource_3,13,72,98
15,resource_3,8,68,91
4,resource_2,22,76,110
7,resource_0,11,67,91
5,resource_3,20,68,106
16,resource_1,14,59,97
9,resource_0,4,34,50
19,resource_1,7,18,40
11,resource_2,13,39,60
10,resource_2,13,75,109
0,resource_3,9,11,41
4,resource_0,10,50,71
17,resource_1,13,71,109
18,resource_3,15,80,111
8,resource_3,18,36,69
16,resource_4,10,33,59
3,resource_0,19,57,95
0,resource_1,16,62,95
14,resource_2,15,42,80
13,resource_2,8,29,50
12,resource_2,9,50,72
1,resource_0,11,55,85
19,resource_2,21,17,44
6,resource_1,7,76,94
5,resource_4,9,61,82
9,resource_2,10,46,76
2,resource_2,19,50,89
11,resource_0,17,55,83
10,resource_2,3,50,70
14,resource_4,10,22,51
7,resource_4,14,81,112
15,resource_3,14,27,55
0,resource_3,8,28,47
17,resource_3,10,45,68
1,resource_1,19,52,95
18,resource_2,17,57,95
11,resource_1,19,37,80
8,resource_3,17,47,86
0,resource_0,12,48,70
12,resource_1,14,41,68
15,resource_2,12,38,57
13,resource_1,19,51,94
19,resource_1,15,66,93
4,resource_2,8,83,108
3,resource_2,6,29,62
6,resource_0,8,58,92
16,resource_0,17,15,43
5,resource_0,17,76,113
9,resource_1,19,39,77
11,resource_4,12,19,38
14,resource_4,14,54,84
7,resource_4,17,42,72
13,resource_1,7,41,63
17,resource_2,19,17,48
8,resource_3,12,38,69
3,resource_3,20,39,77
10,resource_1,18,6,40
0,resource_4,18,64,100
15,resource_2,22,41,81
2,resource_3,12,54,84
18,resource_1,17,23,55
4,resource_0,21,51,92
12,resource_3,14,41,65
19,resource_0,8,39,62
5,resource_1,7,27,52
6,resource_4,20,71,107
14,resource_3,21,68,107
16,resource_4,25,64,104
1,resource_1,10,63,91
8,resource_4,14,19,53
17,resource_4,6,63,71
10,resource_3,14,72,96
11,resource_2,6,43,67
13,resource_1,26,39,77
0,resource_1,16,28,60
9,resource_1,11,64,90
19,resource_2,13,88,115
1,resource_3,12,52,76
15,resource_1,14,39,78
7,resource_4,3,77,98
5,resource_0,5,38,59
12,resource_0,13,107,136
3,resource_3,9,42,65
18,resource_0,20,73,105
8,resource_0,6,1,29
16,resource_1,22,9,46
6,resource_4,19,41,78
4,resource_4,15,49,72
11,resource_4,14,54,93
0,resource_2,17,11,54
2,resource_2,18,45,78
10,resource_3,13,51,77
1,resource_4,20,11,46
9,resource_0,14,45,71
15,resource_1,16,60,90
19,resource_4,16,61,102
17,resource_0,18,39,72
14,resource_4,16,67,99
13,resource_3,13,52,81
12,resource_1,19,87,124
5,resource_0,15,72,114
11,resource_4,13,61,97
18,resource_2,13,88,114
4,resource_4,13,68,97
1,resource_3,22,26,67
15,resource_1,16,48,82
2,resource_3,13,53,85
7,resource_1,11,65,90
17,resource_4,11,34,62
3,resource_1,19,39,77
9,resource_0,20,34,77
16,resource_2,22,68,103
6,resource_2,25,56,93
8,resource_0,17,52,86
0,resource_0,5,82,94
19,resource_0,13,42,77
5,resource_3,14,15,47
14,resource_2,19,40,73
4,resource_3,18,33,70
13,resource_3,21,31,67
9,resource_1,5,57,80
10,resource_0,11,59,82
14,resource_4,13,25,47
2,resource_0,12,9,36
8,resource_2,12,42,72
12,resource_4,13,97,127
11,resource_3,20,38,76
15,resource_0,19,48,87
1,resource_0,16,16,48
16,resource_3,9,61,78
4,resource_3,9,29,57
3,resource_4,16,46,78
15,resource_2,12,21,44
17,resource_1,10,50,77
10,resource_3,15,30,64
18,resource_4,13,70,101
6,resource_4,18,55,84
7,resource_1,20,87,113
12,resource_1,17,23,63
3,resource_3,10,55,79
19,resource_1,19,23,58
0,resource_2,14,57,88
14,resource_0,16,61,84
5,resource_3,18,80,119
4,resource_2,18,20,44
8,resource_0,21,55,88
9,resource_1,12,92,116
13,resource_3,12,73,91
17,resource_4,16,57,83
6,resource_4,13,77,110
18,resource_4,13,52,87
2,resource_2,18,55,91
15,resource_1,11,48,73
3,resource_2,20,40,75
10,resource_2,12,85,107
12,resource_0,13,49,72
7,resource_4,8,54,71
2,resource_0,14,26,50
16,resource_1,21,48,79
1,resource_2,14,88,127
17,resource_2,11,58,85
15,resource_1,21,34,66
11,resource_4,17,67,98
0,resource_3,14,44,80
5,resource_0,18,89,124
13,resource_3,14,39,74
19,resource_2,5,66,89
4,resource_4,12,87,110
6,resource_0,14,79,110
8,resource_4,18,56,91
1,resource_3,11,48,74
18,resource_1,10,34,66
7,resource_0,15,61,90
9,resource_1,22,61,89
14,resource_4,21,45,80
17,resource_0,18,54,92
16,resource_1,15,69,90
19,resource_2,9,47,62
10,resource_1,19,90,120
4,resource_3,17,44,83
12,resource_0,15,53,76
2,resource_4,23,43,78
1,resource_4,19,59,100
0,resource_2,10,41,64
6,resource_1,18,67,103
18,resource_4,15,26,52
10,resource_0,16,6,39
15,resource_4,12,19,45
8,resource_4,21,12,48
5,resource_0,16,84,118
3,resource_0,11,49,73
7,resource_4,15,58,89
13,resource_2,19,47,77
9,resource_3,6,77,90
19,resource_4,13,68,104
11,resource_0,11,26,56
12,resource_3,18,36,65
17,resource_3,8,60,93
14,resource_2,11,59,86
16,resource_4,16,50,79
4,resource_1,4,53,71
0,resource_0,9,36,66
6,resource_1,13,57,86
11,resource_4,15,14,45
2,resource_0,19,37,64
19,resource_0,23,42,75
14,resource_2,15,60,90
1,resource_1,18,7,35
15,resource_2,14,73,107
7,resource_0,11,74,91
3,resource_0,8,63,87
18,resource_2,21,73,106
16,resource_2,12,66,97
12,resource_1,11,31,45
13,resource_2,10,37,66
10,resource_2,14,39,65
8,resource_1,15,38,81
9,resource_3,18,73,104
5,resource_2,21,63,102
11,resource_4,14,36,58
10,resource_0,5,10,32
2,resource_1,20,31,67
17,resource_4,5,89,111
9,resource_1,19,32,71
6,resource_4,18,38,74
14,resource_1,16,71,97
3,resource_4,10,49,70
0,resource_4,6,69,96
19,resource_0,11,21,42
4,resource_0,17,38,72
7,resource_0,16,72,107
1,resource_2,15,35,68
13,resource_3,19,42,81
12,resource_3,17,79,114
15,resource_1,15,39,64
10,resource_1,9,82,107
11,resource_3,13,43,75
18,resource_3,19,56,87
6,resource_3,13,42,73
14,resource_4,14,89,115
16,resource_2,16,52,86
11,resource_0,15,55,83
0,resource_0,12,51,81
8,resource_2,27,26,79
1,resource_2,4,19,35
12,resource_3,9,23,48
3,resource_1,16,17,47
5,resource_2,13,45,76
17,resource_4,16,35,67
9,resource_4,12,72,107
10,resource_2,12,26,58
7,resource_4,18,39,80
15,resource_4,15,26,52
13,resource_2,19,43,83
19,resource_2,17,33,65
2,resource_0,25,52,91
18,resource_3,15,52,84
8,resource_0,17,45,72
13,resource_4,22,49,93
14,resource_3,15,38,66
11,resource_4,19,34,72
6,resource_4,19,86,125
4,resource_2,21,38,78
17,resource_4,16,53,78
1,resource_3,15,45,80
10,resource_2,8,28,63
19,resource_4,25,33,70
16,resource_3,11,42,68
14,resource_0,15,1,26
2,resource_0,10,40,73
8,resource_3,24,39,78
11,resource_2,14,5,31
7,resource_1,22,26,63
4,resource_4,4,34,55
9,resource_4,9,44,79
0,resource_0,18,34,63
12,resource_0,19,46,92
3,resource_2,20,47,76
13,resource_4,20,92,126
2,resource_3,17,82,117
6,resource_2,16,48,86
8,resource_0,8,61,84
7,resource_0,15,14,45
5,resource_3,20,56,85
15,resource_4,14,93,124
9,resource_2,11,39,72
16,resource_4,24,35,74
10,resource_4,14,54,88
18,resource_2,16,62,99
17,resource_0,1,33,54
7,resource_3,17,71,113
1,resource_1,13,35,66
14,resource_3,6,49,71
3,resource_2,25,39,75
4,resource_0,10,99,125
19,resource_1,20,54,94
0,resource_1,16,65,85
11,resource_0,10,34,61
