# Simulation Configuration;;;;;;;;;
NumContainers,20;;;;;;;;;
NumResources,5;;;;;;;;;
SimulationTime,60;;;;;;;;;
MaxConcurrentAccess,3;;;;;;;;;
SynchronizationEnabled,true;;;;;;;;;
NetworkLatencyMean,15;;;;;;;;;
ProcessingTimeMean,50;;;;;;;;;
;;;;;;;;;
# Summary Metrics;;;;;;;;;
TotalRequests,4205;;;;;;;;;
SuccessfulRequests,4205;;;;;;;;;
Conflicts,0;;;;;;Metric;With Synchronization;Without Synchronization;Difference(%)
Timeouts,0;;;;;;Total Request;4205;4254;1,151857076
TotalDuration,61;;;;;;Successful Requests;4205;4254;1,151857076
ThroughputPerSecond,68.934425;;;;;;Conflicts;0;132;100
AvgAcquireTimeMs,15.930321046373365;;;;;;Timeouts;0;0;No Difference
AvgProcessingTimeMs,50.017598097502976;;;;;;Throughput (ops/sec);68,9344;69,7377;1,151887716
AvgTotalTimeMs,81.65945303210464;;;;;;Average Acquire Time (ms);15,9303;14,7388;-8,08410454
;;;;;;Average Processing Time (ms);50,0176;49,4358;-1,176879913
# Access Logs;;;;;;Average Total Time (ms);81,6595;79,7118;-2,443427447
ContainerId,ResourceId,AcquireTimeMs,ProcessingTimeMs,TotalTimeMs;;;;;;;;;
4,resource_4,11,36,63;;;;;;;;;
9,resource_4,15,30,63;;;;;;;;;
8,resource_1,5,50,70;;;;;;;;;
17,resource_1,12,38,72;;;;;;;;;
16,resource_3,11,51,75;;;;;;;;;
0,resource_2,14,61,83;;;;;;;;;
10,resource_0,17,57,92;;;;;;;;;
5,resource_2,13,67,95;;;;;;;;;
19,resource_0,3,69,95;;;;;;;;;
1,resource_0,10,74,98;;;;;;;;;
18,resource_2,16,63,98;;;;;;;;;
11,resource_3,13,65,103;;;;;;;;;
12,resource_3,10,77,102;;;;;;;;;
7,resource_1,11,81,108;;;;;;;;;
13,resource_2,94,13,126;;;;;;;;;
14,resource_2,98,14,135;;;;;;;;;
2,resource_1,83,47,147;;;;;;;;;
3,resource_3,93,50,155;;;;;;;;;
0,resource_0,16,57,90;;;;;;;;;
15,resource_3,102,64,182;;;;;;;;;
6,resource_3,103,74,188;;;;;;;;;
4,resource_3,43,15,81;;;;;;;;;
15,resource_3,14,30,58;;;;;;;;;
10,resource_2,20,44,74;;;;;;;;;
11,resource_4,15,51,84;;;;;;;;;
8,resource_1,7,55,72;;;;;;;;;
6,resource_3,14,29,61;;;;;;;;;
19,resource_1,6,42,63;;;;;;;;;
1,resource_3,18,41,79;;;;;;;;;
12,resource_4,19,9,46;;;;;;;;;
16,resource_2,12,21,48;;;;;;;;;
17,resource_2,8,13,46;;;;;;;;;
9,resource_4,13,61,84;;;;;;;;;
5,resource_1,32,44,93;;;;;;;;;
14,resource_3,13,55,84;;;;;;;;;
15,resource_4,14,69,96;;;;;;;;;
11,resource_0,10,65,94;;;;;;;;;
13,resource_4,10,55,80;;;;;;;;;
10,resource_1,16,23,51;;;;;;;;;
4,resource_2,20,76,112;;;;;;;;;
18,resource_0,23,52,89;;;;;;;;;
2,resource_1,17,82,117;;;;;;;;;
6,resource_2,14,59,91;;;;;;;;;
19,resource_2,19,57,94;;;;;;;;;
9,resource_1,7,63,85;;;;;;;;;
14,resource_3,5,17,37;;;;;;;;;
4,resource_4,10,25,50;;;;;;;;;
0,resource_2,16,79,112;;;;;;;;;
8,resource_2,8,40,66;;;;;;;;;
7,resource_4,16,92,135;;;;;;;;;
5,resource_0,6,41,72;;;;;;;;;
17,resource_1,19,79,115;;;;;;;;;
18,resource_4,18,44,75;;;;;;;;;
11,resource_4,14,35,64;;;;;;;;;
14,resource_0,12,29,57;;;;;;;;;
18,resource_2,9,27,48;;;;;;;;;
6,resource_0,18,67,105;;;;;;;;;
5,resource_4,6,32,62;;;;;;;;;
1,resource_3,18,62,94;;;;;;;;;
9,resource_0,13,63,104;;;;;;;;;
8,resource_1,14,41,70;;;;;;;;;
3,resource_2,19,57,91;;;;;;;;;
4,resource_3,12,42,71;;;;;;;;;
15,resource_2,12,36,68;;;;;;;;;
13,resource_0,18,76,111;;;;;;;;;
17,resource_4,6,35,56;;;;;;;;;
16,resource_1,15,93,118;;;;;;;;;
10,resource_1,17,54,88;;;;;;;;;
2,resource_4,12,45,76;;;;;;;;;
12,resource_1,14,44,78;;;;;;;;;
3,resource_0,23,27,70;;;;;;;;;
0,resource_0,17,58,99;;;;;;;;;
19,resource_3,11,55,89;;;;;;;;;
10,resource_1,24,68,109;;;;;;;;;
7,resource_1,7,46,73;;;;;;;;;
16,resource_1,11,11,32;;;;;;;;;
11,resource_1,13,40,64;;;;;;;;;
15,resource_1,42,26,80;;;;;;;;;
5,resource_0,20,98,131;;;;;;;;;
1,resource_0,24,46,82;;;;;;;;;
18,resource_1,16,46,70;;;;;;;;;
4,resource_0,13,49,76;;;;;;;;;
6,resource_3,20,55,89;;;;;;;;;
8,resource_1,16,55,90;;;;;;;;;
12,resource_2,8,82,95;;;;;;;;;
2,resource_3,11,22,54;;;;;;;;;
14,resource_4,18,35,64;;;;;;;;;
0,resource_4,16,33,67;;;;;;;;;
3,resource_3,9,36,47;;;;;;;;;
10,resource_2,11,77,104;;;;;;;;;
9,resource_4,24,34,78;;;;;;;;;
13,resource_0,20,64,100;;;;;;;;;
11,resource_3,15,61,94;;;;;;;;;
6,resource_3,8,68,97;;;;;;;;;
16,resource_4,22,34,72;;;;;;;;;
17,resource_3,22,51,91;;;;;;;;;
15,resource_4,15,47,81;;;;;;;;;
1,resource_0,18,37,77;;;;;;;;;
19,resource_4,13,45,68;;;;;;;;;
7,resource_0,12,41,71;;;;;;;;;
13,resource_1,15,21,57;;;;;;;;;
5,resource_0,10,51,74;;;;;;;;;
3,resource_0,11,92,116;;;;;;;;;
12,resource_0,15,25,57;;;;;;;;;
4,resource_4,14,78,100;;;;;;;;;
9,resource_1,9,13,42;;;;;;;;;
0,resource_3,14,34,63;;;;;;;;;
18,resource_1,9,46,74;;;;;;;;;
8,resource_1,12,27,63;;;;;;;;;
10,resource_0,10,34,56;;;;;;;;;
11,resource_3,10,53,69;;;;;;;;;
2,resource_4,13,31,71;;;;;;;;;
15,resource_0,17,45,78;;;;;;;;;
3,resource_3,15,40,76;;;;;;;;;
1,resource_2,24,45,86;;;;;;;;;
14,resource_4,19,50,92;;;;;;;;;
16,resource_0,6,6,27;;;;;;;;;
6,resource_4,14,57,91;;;;;;;;;
4,resource_2,20,56,93;;;;;;;;;
19,resource_3,16,70,99;;;;;;;;;
12,resource_3,18,53,85;;;;;;;;;
9,resource_0,12,79,109;;;;;;;;;
11,resource_0,9,56,87;;;;;;;;;
17,resource_4,17,43,70;;;;;;;;;
14,resource_2,16,75,111;;;;;;;;;
13,resource_1,15,42,71;;;;;;;;;
16,resource_0,11,63,79;;;;;;;;;
0,resource_4,10,70,87;;;;;;;;;
19,resource_0,17,43,67;;;;;;;;;
4,resource_3,11,73,97;;;;;;;;;
18,resource_4,19,24,54;;;;;;;;;
15,resource_2,17,27,68;;;;;;;;;
2,resource_2,19,5,34;;;;;;;;;
10,resource_4,11,18,44;;;;;;;;;
3,resource_3,16,85,112;;;;;;;;;
7,resource_0,15,48,72;;;;;;;;;
5,resource_1,21,41,77;;;;;;;;;
8,resource_0,23,33,69;;;;;;;;;
12,resource_0,15,53,87;;;;;;;;;
17,resource_4,10,95,124;;;;;;;;;
16,resource_2,15,32,59;;;;;;;;;
14,resource_0,33,100,148;;;;;;;;;
11,resource_2,20,54,89;;;;;;;;;
1,resource_2,21,69,106;;;;;;;;;
18,resource_1,20,35,71;;;;;;;;;
4,resource_3,15,38,61;;;;;;;;;
13,resource_3,10,10,31;;;;;;;;;
6,resource_1,12,39,62;;;;;;;;;
9,resource_2,19,45,76;;;;;;;;;
0,resource_0,22,78,119;;;;;;;;;
10,resource_1,14,1,35;;;;;;;;;
15,resource_3,16,72,103;;;;;;;;;
8,resource_4,6,35,56;;;;;;;;;
7,resource_0,12,89,112;;;;;;;;;
19,resource_1,17,24,58;;;;;;;;;
