# Simulation Configuration
NumContainers,20
NumResources,5
SimulationTime,60
MaxConcurrentAccess,3
SynchronizationEnabled,false
NetworkLatencyMean,15
ProcessingTimeMean,50

# Summary Metrics
TotalRequests,4232
SuccessfulRequests,4232
Conflicts,121
Timeouts,0
TotalDuration,61
ThroughputPerSecond,69.37705
AvgAcquireTimeMs,15.489603024574668
AvgProcessingTimeMs,49.67367674858223
AvgTotalTimeMs,82.31356332703214

# Access Logs
ContainerId,ResourceId,AcquireTimeMs,ProcessingTimeMs,TotalTimeMs
0,resource_4,13,25,55
7,resource_2,16,18,61
4,resource_1,8,37,62
11,resource_0,25,20,61
12,resource_3,14,37,64
1,resource_4,10,57,72
16,resource_0,18,42,70
6,resource_2,8,41,74
3,resource_3,21,42,78
9,resource_1,18,51,78
18,resource_3,15,38,79
13,resource_4,11,53,80
17,resource_1,15,51,87
19,resource_4,18,63,97
8,resource_1,17,67,99
10,resource_4,8,71,101
5,resource_2,13,69,108
14,resource_1,14,72,108
15,resource_2,23,73,111
2,resource_2,24,90,139
6,resource_2,13,62,90
12,resource_3,17,31,62
16,resource_1,18,1,29
4,resource_0,10,1,28
13,resource_1,18,24,52
3,resource_0,13,40,63
4,resource_4,9,50,75
14,resource_1,7,86,107
1,resource_1,18,22,57
9,resource_4,11,62,86
18,resource_3,13,60,81
5,resource_4,15,1,23
19,resource_2,17,71,94
10,resource_0,19,90,130
12,resource_4,21,55,100
2,resource_2,26,47,81
7,resource_0,16,68,101
8,resource_0,15,25,51
17,resource_3,11,71,93
13,resource_3,18,81,117
10,resource_1,7,20,43
15,resource_4,18,50,79
5,resource_2,11,5,25
11,resource_3,11,35,67
6,resource_4,18,39,77
0,resource_0,17,29,63
18,resource_0,20,69,110
16,resource_2,16,24,58
19,resource_2,15,4,36
11,resource_2,9,69,100
12,resource_4,22,52,107
7,resource_0,6,53,78
14,resource_2,16,38,66
4,resource_3,15,43,75
1,resource_2,22,51,93
10,resource_3,21,40,76
12,resource_0,1,52,60
17,resource_2,19,50,78
9,resource_0,14,35,74
3,resource_4,20,58,111
13,resource_3,14,72,101
14,resource_1,6,54,78
18,resource_0,14,93,127
9,resource_0,10,68,95
5,resource_2,13,36,70
8,resource_1,23,25,64
2,resource_4,15,39,73
6,resource_1,11,86,114
16,resource_1,15,44,78
15,resource_3,15,33,59
12,resource_3,22,56,97
18,resource_0,17,26,58
3,resource_2,19,17,46
10,resource_0,10,30,54
17,resource_3,14,37,64
7,resource_3,16,45,86
0,resource_1,11,58,92
11,resource_2,15,63,99
19,resource_0,17,95,128
1,resource_2,14,74,108
10,resource_4,13,28,57
4,resource_0,19,27,61
9,resource_3,22,32,62
5,resource_0,15,47,83
8,resource_1,19,31,70
6,resource_2,19,30,67
18,resource_1,20,1,40
2,resource_4,13,49,78
13,resource_2,14,73,109
17,resource_3,15,81,107
1,resource_3,9,32,48
14,resource_2,19,91,127
7,resource_4,7,69,90
19,resource_0,10,43,69
16,resource_1,12,12,41
11,resource_4,12,32,56
15,resource_4,19,77,114
0,resource_4,23,52,105
8,resource_1,8,57,77
3,resource_4,19,41,81
5,resource_1,13,74,101
13,resource_0,21,65,97
4,resource_2,5,55,72
10,resource_3,14,34,62
2,resource_0,8,39,60
12,resource_4,7,64,84
14,resource_0,7,68,96
9,resource_3,20,64,96
17,resource_3,18,63,99
15,resource_2,11,72,110
19,resource_2,14,41,69
16,resource_2,20,44,84
13,resource_2,18,33,70
6,resource_4,16,37,67
0,resource_0,28,41,85
8,resource_3,19,51,78
18,resource_3,18,40,77
7,resource_4,17,63,101
12,resource_3,18,54,88
5,resource_2,13,30,58
1,resource_3,18,91,124
10,resource_1,13,8,36
11,resource_0,12,79,103
2,resource_3,10,34,62
3,resource_4,6,57,76
14,resource_4,9,16,43
16,resource_4,20,53,98
12,resource_2,15,56,97
4,resource_0,12,59,91
9,resource_1,15,28,63
8,resource_2,19,64,99
5,resource_1,12,33,55
17,resource_2,14,73,115
13,resource_2,17,64,90
11,resource_1,3,36,48
15,resource_1,24,74,120
2,resource_0,19,30,68
0,resource_2,13,46,71
14,resource_1,17,78,113
10,resource_0,19,54,93
6,resource_2,16,28,66
4,resource_4,17,94,131
16,resource_0,16,50,80
19,resource_4,11,48,73
18,resource_0,16,63,107
1,resource_1,15,9,47
7,resource_4,16,35,69
4,resource_3,12,44,59
3,resource_0,21,71,103
8,resource_4,18,33,71
15,resource_4,25,82,127
12,resource_3,14,61,87
9,resource_2,13,63,81
11,resource_2,11,29,65
14,resource_3,3,19,42
13,resource_2,9,36,56
12,resource_1,14,15,36
19,resource_0,18,3,33
17,resource_0,11,49,78
5,resource_2,9,68,87
6,resource_4,19,67,102
4,resource_3,14,41,81
15,resource_3,12,41,68
16,resource_1,18,54,93
18,resource_2,6,75,110
2,resource_0,13,29,48
0,resource_1,19,21,62
17,resource_3,19,60,103
1,resource_4,14,66,100
10,resource_4,13,57,84
14,resource_3,8,31,46
3,resource_4,11,56,77
7,resource_1,9,50,74
13,resource_1,24,102,155
18,resource_3,6,67,91
5,resource_2,10,38,70
6,resource_1,25,30,74
14,resource_4,11,36,60
2,resource_3,15,27,59
0,resource_3,21,29,62
11,resource_1,11,58,84
15,resource_2,16,101,136
8,resource_2,22,40,71
9,resource_0,17,32,56
18,resource_1,9,74,98
10,resource_2,15,70,102
12,resource_4,11,66,102
14,resource_2,11,58,86
7,resource_4,6,42,68
3,resource_2,23,62,104
5,resource_1,15,63,94
2,resource_1,18,43,77
1,resource_1,10,25,43
12,resource_4,2,43,58
16,resource_3,16,26,57
4,resource_3,15,61,91
19,resource_1,23,87,130
17,resource_2,14,22,51
5,resource_4,2,34,48
15,resource_3,23,61,89
12,resource_3,7,58,77
13,resource_3,20,51,87
16,resource_2,19,74,106
0,resource_4,8,34,62
6,resource_4,15,85,110
8,resource_2,8,47,74
18,resource_3,15,43,79
11,resource_4,18,57,91
3,resource_3,21,58,104
1,resource_2,3,29,40
9,resource_0,13,59,85
14,resource_4,13,39,66
7,resource_1,18,33,70
17,resource_2,13,61,92
19,resource_2,11,57,93
2,resource_2,23,62,97
10,resource_0,2,41,57
13,resource_2,15,53,81
12,resource_3,14,33,62
16,resource_4,5,34,60
3,resource_4,15,26,56
4,resource_2,20,94,129
0,resource_3,26,52,97
19,resource_2,20,53,93
18,resource_3,10,53,89
17,resource_4,18,41,70
5,resource_4,17,65,100
9,resource_2,23,29,64
6,resource_3,11,86,109
4,resource_1,23,45,85
1,resource_0,18,37,63
10,resource_1,20,41,70
13,resource_1,16,62,88
16,resource_1,10,38,61
11,resource_1,13,44,70
14,resource_2,15,72,99
8,resource_0,18,56,92
13,resource_1,8,54,75
10,resource_3,10,44,66
15,resource_3,18,49,86
18,resource_3,18,47,78
12,resource_2,1,42,60
7,resource_0,10,51,76
8,resource_1,10,31,57
3,resource_2,22,50,90
0,resource_1,17,66,97
13,resource_2,17,92,125
2,resource_4,16,41,76
11,resource_4,15,23,53
10,resource_0,15,8,33
3,resource_3,16,74,102
19,resource_0,16,55,86
4,resource_2,14,77,103
7,resource_0,22,50,82
5,resource_4,16,13,43
15,resource_4,10,38,61
9,resource_4,13,1,35
11,resource_1,21,51,82
6,resource_3,8,48,66
13,resource_1,10,23,42
16,resource_0,21,16,52
1,resource_4,24,44,79
17,resource_1,12,49,74
14,resource_3,19,33,68
3,resource_0,13,57,99
12,resource_1,16,1,39
0,resource_0,16,47,82
10,resource_3,15,80,110
18,resource_2,20,37,74
5,resource_2,18,71,99
9,resource_1,8,41,63
8,resource_2,11,69,86
14,resource_3,15,107,142
2,resource_0,5,54,79
15,resource_4,14,39,72
16,resource_2,15,76,106
7,resource_4,17,21,49
17,resource_1,16,65,95
3,resource_2,19,58,93
6,resource_3,28,53,97
12,resource_0,22,27,63
19,resource_4,5,43,60
9,resource_4,18,48,85
15,resource_4,14,5,36
0,resource_1,14,17,37
4,resource_1,15,53,86
17,resource_0,14,35,60
18,resource_0,16,24,53
13,resource_4,19,63,98
11,resource_0,6,58,79
5,resource_4,2,65,80
7,resource_4,7,66,85
1,resource_4,14,38,72
2,resource_4,17,76,115
16,resource_3,10,28,62
12,resource_4,17,44,77
6,resource_2,18,47,83
13,resource_4,20,31,60
3,resource_3,14,62,99
0,resource_2,15,90,123
15,resource_3,18,21,64
8,resource_2,12,61,97
14,resource_4,19,9,40
16,resource_0,21,45,84
19,resource_4,19,65,100
10,resource_0,13,72,101
4,resource_0,13,7,33
2,resource_3,15,35,62
17,resource_1,17,86,127
3,resource_1,9,36,63
18,resource_1,10,42,73
9,resource_1,13,42,75
1,resource_0,10,42,72
5,resource_2,17,46,78
8,resource_0,14,34,69
12,resource_2,16,47,78
11,resource_3,13,17,60
7,resource_1,6,61,86
6,resource_2,16,88,133
19,resource_2,14,28,48
13,resource_4,12,52,82
17,resource_4,24,83,123
10,resource_1,16,60,88
0,resource_2,16,16,48
2,resource_4,16,51,83
14,resource_1,17,49,81
11,resource_2,5,24,48
15,resource_0,15,83,114
7,resource_3,15,56,87
8,resource_0,11,50,84
5,resource_4,18,64,106
2,resource_3,22,3,43
19,resource_3,13,57,98
3,resource_2,16,45,79
9,resource_1,21,45,85
4,resource_2,24,13,47
6,resource_3,13,46,68
16,resource_1,19,56,86
14,resource_1,17,74,109
1,resource_3,11,35,62
12,resource_0,9,69,85
18,resource_0,13,31,64
13,resource_1,13,102,131
2,resource_4,19,27,70
3,resource_4,20,35,69
17,resource_2,15,65,95
7,resource_0,15,56,80
6,resource_3,9,56,81
11,resource_3,23,31,73
0,resource_2,10,39,65
18,resource_0,9,45,73
8,resource_2,14,113,139
4,resource_0,4,42,55
10,resource_3,13,56,84
15,resource_4,14,24,51
19,resource_4,11,75,103
5,resource_4,14,48,76
18,resource_2,15,24,51
12,resource_3,22,47,88
3,resource_4,13,44,80
9,resource_4,10,62,92
19,resource_4,13,56,71
2,resource_4,13,47,78
11,resource_0,17,79,101
13,resource_3,3,83,113
16,resource_4,11,24,56
10,resource_1,19,4,44
7,resource_2,14,80,124
1,resource_0,15,43,75
17,resource_0,14,74,98
6,resource_3,16,81,114
12,resource_3,17,56,85
0,resource_4,12,55,80
15,resource_0,10,55,86
5,resource_3,12,84,117
14,resource_0,14,69,107
10,resource_1,16,92,117
4,resource_4,18,67,105
2,resource_3,20,88,121
7,resource_3,16,51,79
6,resource_3,21,56,86
18,resource_1,18,57,95
3,resource_2,12,91,117
19,resource_2,21,35,74
16,resource_1,11,73,102
13,resource_3,16,12,42
8,resource_3,18,49,80
11,resource_0,16,68,102
1,resource_4,16,50,86
7,resource_1,17,34,55
10,resource_0,14,60,97
3,resource_1,22,44,79
0,resource_2,11,50,80
9,resource_3,16,37,62
17,resource_4,19,60,92
19,resource_3,19,52,89
6,resource_3,16,63,93
14,resource_1,15,40,72
12,resource_0,21,37,77
1,resource_0,9,42,66
18,resource_0,8,21,44
5,resource_3,17,61,95
4,resource_0,13,79,105
10,resource_1,7,50,73
16,resource_2,17,28,62
8,resource_2,14,48,80
0,resource_4,15,64,87
13,resource_3,30,31,79
11,resource_0,22,44,82
14,resource_1,21,45,81
12,resource_3,21,31,73
15,resource_1,17,76,109
7,resource_2,17,55,86
2,resource_2,18,108,147
6,resource_1,12,15,42
4,resource_0,18,53,91
19,resource_3,18,23,62
3,resource_3,21,52,91
14,resource_1,19,52,75
6,resource_1,12,37,66
17,resource_3,16,61,98
8,resource_1,4,39,56
10,resource_4,10,77,98
0,resource_0,19,44,75
1,resource_2,5,34,42
16,resource_1,11,38,67
9,resource_4,12,22,50
5,resource_0,14,77,105
15,resource_0,22,66,105
13,resource_2,25,25,72
18,resource_0,25,75,103
11,resource_3,18,56,94
19,resource_3,17,63,99
12,resource_4,12,65,91
17,resource_2,16,11,40
14,resource_0,17,81,114
7,resource_0,19,78,113
16,resource_1,12,12,43
8,resource_3,15,37,60
10,resource_4,18,25,47
2,resource_1,15,64,88
4,resource_1,23,48,87
3,resource_4,13,40,63
6,resource_3,13,120,149
0,resource_4,11,36,52
12,resource_3,18,57,96
10,resource_0,17,50,84
15,resource_1,11,33,53
17,resource_3,10,80,114
5,resource_4,13,51,84
2,resource_1,16,9,38
13,resource_0,20,15,40
8,resource_0,12,53,75
18,resource_0,11,27,53
1,resource_0,21,78,109
9,resource_2,20,63,101
11,resource_2,21,37,76
17,resource_2,19,13,52
14,resource_2,8,85,111
7,resource_0,18,65,98
19,resource_2,14,80,117
16,resource_2,21,72,122
8,resource_2,18,5,38
15,resource_2,18,39,77
4,resource_2,11,33,59
12,resource_0,13,92,126
13,resource_1,12,63,98
3,resource_4,16,37,66
2,resource_0,12,56,96
10,resource_1,14,63,93
0,resource_4,15,49,83
6,resource_4,21,80,111
5,resource_4,11,68,96
19,resource_2,6,76,94
0,resource_4,17,20,56
14,resource_0,18,24,59
