# Simulation Configuration
NumContainers,20
NumResources,5
SimulationTime,60
MaxConcurrentAccess,3
SynchronizationEnabled,true
NetworkLatencyMean,15
ProcessingTimeMean,50

# Summary Metrics
TotalRequests,4219
SuccessfulRequests,4219
Conflicts,0
Timeouts,0
TotalDuration,61
ThroughputPerSecond,69.16393
AvgAcquireTimeMs,16.008532827684284
AvgProcessingTimeMs,49.20786916330884
AvgTotalTimeMs,81.03342024176345

# Access Logs
ContainerId,ResourceId,AcquireTimeMs,ProcessingTimeMs,TotalTimeMs
3,resource_2,25,7,45
14,resource_3,9,27,50
8,resource_3,14,44,76
0,resource_0,13,52,78
13,resource_2,12,51,78
10,resource_0,12,38,80
17,resource_4,13,57,83
4,resource_2,14,59,87
18,resource_0,4,71,89
15,resource_1,15,63,92
16,resource_1,20,64,102
11,resource_4,13,82,106
1,resource_3,10,86,113
19,resource_3,74,27,119
7,resource_4,10,97,125
2,resource_4,94,31,135
9,resource_0,86,49,166
6,resource_4,108,57,183
5,resource_3,86,80,184
12,resource_4,124,57,203
14,resource_0,19,41,72
16,resource_4,16,22,51
3,resource_0,6,55,75
10,resource_3,15,45,66
7,resource_1,18,39,74
4,resource_1,14,50,78
11,resource_3,12,41,67
1,resource_3,20,20,52
6,resource_4,13,91,117
9,resource_4,9,1,24
18,resource_1,17,91,129
2,resource_2,15,35,66
8,resource_3,13,47,73
15,resource_1,45,57,121
19,resource_4,15,66,100
0,resource_3,8,41,60
17,resource_0,20,54,89
5,resource_0,13,72,92
3,resource_2,16,13,42
14,resource_1,14,78,103
0,resource_1,12,21,50
13,resource_2,12,60,85
16,resource_0,9,87,117
12,resource_2,11,55,83
9,resource_1,5,1,27
1,resource_2,10,3,33
10,resource_2,18,53,86
8,resource_3,18,23,60
15,resource_0,16,43,69
19,resource_1,5,31,44
4,resource_2,16,46,77
6,resource_1,18,70,110
2,resource_4,19,85,127
11,resource_4,20,56,91
18,resource_2,11,30,67
7,resource_4,25,29,66
17,resource_0,18,62,91
5,resource_4,13,56,86
0,resource_0,20,92,132
13,resource_1,19,32,67
16,resource_0,18,34,69
12,resource_1,8,52,76
18,resource_3,18,55,91
9,resource_1,12,24,54
4,resource_0,13,81,122
7,resource_2,25,47,96
0,resource_0,7,75,102
3,resource_4,17,43,85
10,resource_2,11,59,83
19,resource_0,15,91,116
14,resource_1,17,38,71
1,resource_0,11,26,52
17,resource_3,17,46,78
15,resource_0,58,60,133
11,resource_4,10,66,94
13,resource_3,14,42,66
16,resource_3,11,36,65
6,resource_4,14,66,86
2,resource_3,13,80,112
8,resource_0,43,74,135
5,resource_1,6,61,82
18,resource_1,16,35,67
3,resource_3,20,38,83
1,resource_3,16,61,90
6,resource_3,19,17,53
2,resource_1,24,41,83
16,resource_4,11,19,48
14,resource_2,11,40,65
10,resource_4,25,42,79
17,resource_1,13,43,78
11,resource_4,8,60,76
7,resource_1,17,77,109
5,resource_2,17,50,90
12,resource_1,26,63,109
0,resource_1,31,55,100
13,resource_2,17,39,75
8,resource_4,9,67,87
4,resource_1,41,45,103
18,resource_1,49,26,85
19,resource_4,11,52,87
16,resource_4,15,53,85
9,resource_1,26,68,107
13,resource_0,12,39,61
2,resource_3,20,45,71
4,resource_3,16,9,47
10,resource_1,8,62,87
6,resource_1,17,54,89
5,resource_3,12,48,75
12,resource_0,19,49,85
3,resource_1,16,33,63
15,resource_4,15,38,70
14,resource_2,20,42,77
1,resource_1,21,38,77
7,resource_3,17,48,76
0,resource_0,14,54,78
17,resource_0,16,32,66
6,resource_1,27,31,70
11,resource_2,23,77,117
18,resource_4,15,61,96
12,resource_1,19,32,58
13,resource_2,9,47,67
5,resource_3,10,43,72
14,resource_3,14,32,60
7,resource_1,13,66,100
16,resource_3,15,36,74
19,resource_2,16,74,107
2,resource_0,8,55,83
10,resource_2,9,56,86
9,resource_0,19,1,35
12,resource_4,15,69,102
8,resource_4,10,40,62
3,resource_4,14,78,111
17,resource_4,34,50,90
4,resource_1,12,20,49
0,resource_2,21,77,109
14,resource_1,7,19,41
5,resource_2,18,69,114
1,resource_4,11,105,138
15,resource_4,20,42,100
2,resource_2,13,29,82
6,resource_1,11,50,94
11,resource_1,35,30,81
10,resource_4,35,63,110
1,resource_2,18,49,77
12,resource_0,13,14,42
18,resource_3,5,60,77
0,resource_2,24,28,60
13,resource_1,9,74,101
1,resource_2,13,61,90
14,resource_2,15,69,100
7,resource_0,22,64,97
11,resource_1,13,40,60
4,resource_4,28,60,93
6,resource_0,15,64,92
9,resource_4,10,61,76
18,resource_0,27,57,99
19,resource_2,19,62,91
8,resource_3,16,39,74
16,resource_3,13,75,106
19,resource_0,11,29,49
17,resource_3,21,88,120
3,resource_2,13,32,63
19,resource_0,16,67,99
1,resource_4,24,51,98
12,resource_0,14,24,52
9,resource_2,17,59,96
13,resource_1,14,80,119
5,resource_3,20,44,78
10,resource_4,15,61,92
15,resource_0,13,68,94
2,resource_2,14,39,71
14,resource_2,11,46,72
11,resource_2,18,4,40
16,resource_4,23,21,75
